Enter name of dump file: f got: fs, but expected |?
lieu jaune got: lieu jaunes, but expected |?
cochain complex got: cochain complexs, but expected |es
chain complex got: chain complexs, but expected |es
higgsino got: higgsinoes, but expected 
omake got: omakes, but expected |omake
nestohedron got: nestohedrons, but expected |nestohedra
prolapsus got: prolapsuses, but expected |?
zeale got: zeales, but expected |?
superequilibrium got: superequilibriums, but expected |superequilibria
ophan got: ophans, but expected |ophanim
pubococcygeus got: pubococcygeuses, but expected |?
baozi got: baozis, but expected |baozi
fishbed got: fishbeds, but expected |?
syrphus got: syrphi, but expected |es
raging agreement got: raging agreements, but expected |?
tequilero got: tequileroes, but expected 
CLR got: CLRs, but expected |?
mousseux got: mousseuxes, but expected |mousseux
accident and emergency got: accident and emergencys, but expected |?
a quick drop and a sudden stop got: a quick drop and a sudden stops, but expected |?
microgauss got: microgausses, but expected |microgauss
nonplacebo got: nonplaceboes, but expected 
turn about got: turns about, but expected 
mysteriarch got: mysteriarches, but expected |mysteriarchs
trispectrum got: trispectrums, but expected |trispectra
ephyra got: ephyras, but expected |ephyrae
schemey got: schemeys, but expected |schemies
miseryguts got: miserygutses, but expected |miseryguts
heptaparallelohedron got: heptaparallelohedrons, but expected |heptaparallelohedra
iodoso got: iodosoes, but expected 
cavetto got: cavettoes, but expected |s|cavetti
110000
screw-up got: screws-up, but expected 
pull through got: pulls through, but expected 
chermes got: chermeses, but expected |?
antapex got: antapexes, but expected |antapices
screw-off got: screws-off, but expected 
lymphadenoma got: lymphadenomas, but expected |?
tentorium got: tentoriums, but expected |tentoria
Comanchero got: Comancheroes, but expected 
scotino got: scotinoes, but expected 
brennschluss got: brennschlusses, but expected |?
cepstrum got: cepstrums, but expected |cepstra
belowstairs got: belowstairses, but expected |belowstairs
make-over got: makes-over, but expected |head=[[make]]-[[over]]
nuisance tax got: nuisance taxs, but expected |es
fastigium got: fastigiums, but expected |fastigia
protiston got: protistons, but expected |protista
buy-out got: buys-out, but expected |head=[[buy]][[-]][[out]]
stypsis got: stypses, but expected |?
tractography got: tractographies, but expected |?
queerdo got: queerdoes, but expected 
loppet got: loppets, but expected |?
Schützenfest got: Schützenfests, but expected |?
lodde got: loddes, but expected |?
kolkoz got: kolkozzes, but expected |es|kolkozy
black fly got: black flys, but expected |blackflies
kilolumen got: kilolumen, but expected 
cimbasso got: cimbassoes, but expected |s|cimbassi
Xolo got: Xoloes, but expected 
baseperson got: basepeople, but expected 
bait box got: bait boxs, but expected |es
kc got: kcs, but expected |?
glossatrix got: glossatrixes, but expected |glossatrices
stipella got: stipellas, but expected |stipellae
casting couch got: casting couchs, but expected |es
casting-couch got: casting-couchs, but expected |es
hexatetrahedron got: hexatetrahedrons, but expected |hexatetrahedra
beef tomato got: beef tomatos, but expected |es
pituite got: pituites, but expected |?
electrovacuum got: electrovacuums, but expected |electrovacua
RAS got: RASs, but expected |?
cracktro got: cracktroes, but expected 
invitro got: invitroes, but expected 
pleiopus got: pleiopuses, but expected |pleiopodes
pleopus got: pleopuses, but expected |pleopodes
megademo got: megademoes, but expected 
subcortex got: subcortexes, but expected |subcortices
acylamino got: acylaminoes, but expected 
diphosphine got: diphosphines, but expected |si
piss up got: pisses up, but expected 
blast-off got: blasts-off, but expected 
fumblefingers got: fumblefingerses, but expected |fumblefingers
black-out got: blacks-out, but expected 
trackmo got: trackmoes, but expected 
Belgian Groenendael got: Belgian Groenendaels, but expected |?
Belgian Laekenois got: Belgian Laekenoises, but expected |?
Belgian Malinois got: Belgian Malinoises, but expected |?
Belgian Tervuren got: Belgian Tervurens, but expected |?
kbp got: kbps, but expected |kbp
TEL got: TELs, but expected |?
cry-baby got: cry-babys, but expected |cry-babies
fuzz box got: fuzz boxs, but expected |es
wapato got: wapatoes, but expected 
gyroradius got: gyroradiuses, but expected |gyroradii
disassortativity got: disassortativities, but expected |?
spherium got: spheriums, but expected |spheria
agrobacterium got: agrobacteriums, but expected |agrobacteria
unranking got: unrankings, but expected |?
bawan got: bawans, but expected |?
mirach got: miraches, but expected 
kagome got: kagomes, but expected |?
chengyu got: chengyus, but expected |chengyu
sovkhoz got: sovkhozzes, but expected |es|sovkhozy
inflatino got: inflatinoes, but expected 
gyrophototaxis got: gyrophototaxises, but expected |?
eurodemo got: eurodemoes, but expected 
morelle got: morelles, but expected |?
lay-off got: lays-off, but expected 
kleroterion got: kleroterions, but expected |kleroteria
kleroterium got: kleroteriums, but expected |kleroteria
cleroterium got: cleroteriums, but expected |cleroteria
cleroterion got: cleroterions, but expected |cleroteria
motza got: motzas, but expected |?
eye-strain got: eye-strains, but expected |?|head=[[eye]]-[[strain]]
schnozz got: schnozzzes, but expected |es
pictura got: picturas, but expected |picturae
senteur got: senteurs, but expected |?
receptaculum got: receptaculums, but expected |receptacula
pectoralis got: pectoralises, but expected |?
mentalizing got: mentalizings, but expected |?
stuprum got: stuprums, but expected |stupra
IOPS got: IOPSs, but expected |?
tauhou got: tauhous, but expected |?
rawaru got: rawarus, but expected |?
self-metathesis got: self-metathesises, but expected |head=[[self]]-[[metathesis]]|self-metatheses
fibratus got: fibratuses, but expected |fibrati
wall of sound got: walls of sound, but expected |?
sugarpie got: sugarpies, but expected |?
integrodifference got: integrodifferences, but expected |?
spissatus got: spissatuses, but expected |spissati
castellanus got: castellanuses, but expected |castellani
qafiz got: qafizzes, but expected |es
nebulosus got: nebulosuses, but expected |nebulosi
lenticularis got: lenticularises, but expected |lenticularis
agrogorod got: agrogoroda, but expected 
albarium got: albariums, but expected |?
animalculum got: animalculums, but expected |animalcula
antelabrum got: antelabrums, but expected |antelabra
requinto got: requintoes, but expected 
antumbra got: antumbras, but expected |?
cellco got: cellcoes, but expected 
syntopicon got: syntopicons, but expected |?
kesa got: kesas, but expected |kesa
beatus got: beatuses, but expected |beati
benefactrix got: benefactrixes, but expected |benefactrices
cacafuego got: cacafuegoes, but expected 
calalu got: calalus, but expected |?
calaloo got: calaloos, but expected |?
tarogato got: tarogatoes, but expected 
microJy got: microJies, but expected 
carbo got: carboes, but expected 
ethnicon got: ethnicons, but expected |ethnica
ethnikon got: ethnikons, but expected |ethnika
yuie got: yuies, but expected |?
inamorato got: inamoratoes, but expected 
Brit. got: Brit.s, but expected |?
cinerarium got: cinerariums, but expected |cineraria
asbo got: asboes, but expected 
queermo got: queermoes, but expected 
gawd got: gawds, but expected |?
phaenomenon got: phaenomenons, but expected |phaenomena
opanak got: opanaks, but expected |opanci|opanak
leptocephalus got: leptocephaluses, but expected |leptocephali
gerbilarium got: gerbilariums, but expected |gerbilaria
whip stitch got: whip stitchs, but expected |es
teenagehood got: teenagehoods, but expected |?
clivis got: clivises, but expected |clives
menstrue got: menstrues, but expected |?
dick munch got: dick munchs, but expected |es
hongweibing got: hongweibings, but expected |hongweibing
queen of beasts got: queens of beasts, but expected |?
ham sandwich got: ham sandwichs, but expected |es
ultrametricity got: ultrametricities, but expected |?
corino got: corinoes, but expected 
declensionism got: declensionisms, but expected |?
martyrion got: martyrions, but expected |martyria
colligability got: colligabilities, but expected |?
fuzzy-wuzzy got: fuzzy-wuzzys, but expected |fuzzy-wuzzies
b*tch got: b*tchs, but expected |es
a** got: a**s, but expected |es
cubitus got: cubituses, but expected |cubiti
delice got: delice, but expected 
gwerz got: gwerzzes, but expected |?
corozo got: corozoes, but expected 
doglessness got: doglessnesses, but expected |?
jambeau got: jambeaus, but expected |jambeaux
balnicity got: balnicities, but expected |?
thrombo-endarterectomy got: thrombo-endarterectomys, but expected |head=[[thrombo-]][[endarterectomy]]|thrombo-endarterectomies
thrombo-endarteriectomy got: thrombo-endarteriectomys, but expected |thrombo-endarteriectomies
tarsometatarsus got: tarsometatarsuses, but expected |tarsometatarsi
man-in-the-middle got: man-in-the-middles, but expected |men-in-the-middle
emerg got: emergs, but expected |?
somatic nervous system got: somatic nervous systems, but expected |?
kerugma got: kerugmas, but expected |kerugmata
sterino got: sterinoes, but expected 
antisterino got: antisterinoes, but expected 
tuite got: tuites, but expected |?
115000
margo got: margoes, but expected |margines
nonshaman got: nonshamen, but expected 
turn-around got: turns-around, but expected |head=[[turn-around]]
build-up got: builds-up, but expected |head=[[build]]-[[up]]
transcreation got: transcreations, but expected |?
trode got: trodes, but expected |?
currywurst got: currywursts, but expected |?
truncus got: truncuses, but expected |trunci
dataria got: datarias, but expected |?
contagium got: contagia, but expected |?
praetorium got: praetoriums, but expected |praetoria
proponency got: proponencies, but expected |?
rill erosion got: rill erosions, but expected |?
perigonium got: perigoniums, but expected |perigonia
zakah got: zakahs, but expected |?
zakaah got: zakaahs, but expected |?
salaah got: salaahs, but expected |?
jewfro got: jewfroes, but expected 
cricket pitch got: cricket pitchs, but expected |es
picaro got: picaroes, but expected 
aufeis got: aufeises, but expected |aufeis
blin got: blinis, but expected |?
emeritum got: emeritums, but expected |emerita
spede got: spedes, but expected |?
spicula got: spicula, but expected |s|spiculae
snizz got: snizzzes, but expected |es
cantrix got: cantrixes, but expected |cantrices
confinity got: confinities, but expected |?
bottonium got: bottoniums, but expected |bottonia
shmork got: shmorks, but expected |?
zone punch got: zone punchs, but expected |es
kingcraft got: kingcraft, but expected 
sale or return got: sale or returns, but expected |?
mathematical morphology got: mathematical morphologys, but expected |?
kolhoz got: kolhozzes, but expected |es|kolhozy
kl. got: kl.s, but expected |?
quasi-probability got: quasi-probabilitys, but expected |quasi-probabilities
nonetto got: nonettoes, but expected |s|nonetti
alferes got: alfereses, but expected |alferes
residuosity got: residuosities, but expected |?
colocynthis got: colocynthises, but expected |?
tripus got: tripuses, but expected |tripodes
microcytosis got: microcytoses, but expected |?
microglobulinuria got: microglobulinurias, but expected |?
marry-in got: marries-in, but expected 
ass catch got: ass catchs, but expected |es
nicotine stomatitis got: nicotine stomatitises, but expected 
olitiau got: olitiaus, but expected |?
Milbenkäse got: Milbenkäses, but expected |?
undistillability got: undistillabilities, but expected |?
phonino got: phoninoes, but expected 
wus got: wuses, but expected |wusses
dipoplia got: dipoplias, but expected |?
re-up got: res-up, but expected 
